group,condition,Subject,phase,trial,target,hand_angle,cursor_error,movement_time,reaction_time,peak_velocity,rot_direction,rot
0,0,1,Base,55,60,-2.55,-2.55,0.579819,0.523984,0.0601402,CW,0
0,0,1,Base,172,60,-2.3,-2.3,0.788531,0.656706,0.330579,CW,0
0,0,1,Base,39,90,7.86,7.86,1.13736,0.593109,0.18746,CW,0
0,0,1,Base,69,90,-9.3,-9.3,1.38103,0.21993,0.10107,CW,0
0,0,1,Base,165,90,-6.09,-6.09,0.83019,0.663724,0.188886,CW,0
0,0,1,Base,2,90,0.526,0.526,0.811985,0.288892,0.214213,CW,0
0,0,1,Base,51,90,-7.73,-7.73,1.22067,0.435089,0.0410268,CW,0
0,0,1,Base,43,90,-2.93,-2.93,0.761996,0.289436,0.0957837,CW,0
0,0,1,Base,187,90,-8.91,-8.91,0.55734,0.392047,0.280468,CW,0
0,0,1,Base,87,90,-9.82,-9.82,0.918764,0.637992,0.108257,CW,0
0,0,1,Base,164,90,-10.6,-10.6,0.997335,0.282368,0.0892853,CW,0
0,0,1,Base,65,90,-0.839,-0.839,0.833319,0.535857,0.194881,CW,0
0,0,1,Base,42,90,-1.1,-1.1,0.835654,0.416633,0.255364,CW,0
0,0,1,Base,193,90,-4.27,-4.27,0.643333,0.495371,0.243402,CW,0
0,0,1,Base,100,120,1.92,1.92,0.90141,0.0635833,0.141118,CW,0
0,0,1,Base,148,120,-3.97,-3.97,1.1276,0.337841,0.231669,CW,0
0,0,1,Base,161,120,-4.78,-4.78,0.944796,0.466892,0.112746,CW,0
0,0,1,Base,159,120,-6.24,-6.24,0.91756,0.382501,0.0334304,CW,0
0,0,1,Base,81,120,7.88,7.88,0.839383,0.320814,0.269657,CW,0
0,0,1,Base,111,120,8.62,8.62,0.829206,0.476373,0.160939,CW,0
0,0,1,Base,16,120,-9.89,-9.89,1.10331,-0.0264111,0.0937544,CW,0
0,0,1,Base,119,120,4.17,4.17,0.80127,0.0550512,0.15709,CW,0
0,0,1,Base,123,120,-10.2,-10.2,0.893304,0.410156,0.263179,CW,0
0,0,1,Base,15,120,1.71,1.71,0.70586,0.116152,0.196868,CW,0
0,0,1,Base,108,120,-6.94,-6.94,1.017,0.337193,0.285685,CW,0
0,0,1,Base,109,120,-15.4,-15.4,0.949629,0.359163,0.107151,CW,0
0,0,1,Base,144,150,-3.72,-3.72,0.782765,0.303019,0.226024,CW,0
0,0,1,Base,141,150,9.13,9.13,1.10917,0.556336,0.0867878,CW,0
0,0,1,Base,78,150,-4.43,-4.43,1.34938,0.681507,0.226818,CW,0
0,0,1,Base,117,150,-5.11,-5.11,0.429599,0.144455,0.156155,CW,0
0,0,1,Base,126,150,-9.09,-9.09,0.939899,0.523601,-0.0299,CW,0
0,0,1,Base,107,150,-1.17,-1.17,1.0819,0.486021,0.203782,CW,0
0,0,1,Base,82,150,-0.328,-0.328,0.751077,0.511885,0.258415,CW,0
0,0,1,Base,37,150,-2.6,-2.6,0.919336,0.452491,0.152688,CW,0
0,0,1,Base,89,150,-1.69,-1.69,0.934698,0.530031,0.270956,CW,0
0,0,1,Base,116,150,-4.52,-4.52,0.788333,0.244177,0.108157,CW,0
0,0,1,Base,163,150,-8.15,-8.15,1.03653,0.549643,0.0955476,CW,0
0,0,1,Base,158,150,2.99,2.99,1.13311,0.491573,0.0772451,CW,0
0,0,1,Base,135,-30,-2.47,-2.47,0.829835,0.522545,0.125502,CW,0
0,0,1,Base,174,-30,-6.52,-6.52,0.770277,0.300756,0.082713,CW,0
0,0,1,Base,34,-30,-6.02,-6.02,1.09231,0.702774,0.19027,CW,0
0,0,1,Base,198,-30,-13.8,-13.8,0.686583,0.595177,0.0918349,CW,0
0,0,1,Base,27,-30,-4.65,-4.65,0.931471,0.278086,0.34449,CW,0
0,0,1,Base,113,-30,0.67,0.67,0.87667,0.577119,0.16665,CW,0
0,0,1,Base,46,-30,-0.971,-0.971,1.05935,0.313798,0.283527,CW,0
0,0,1,Base,195,-30,-1.64,-1.64,0.528205,0.202556,0.108127,CW,0
0,0,1,Base,190,-30,-10.3,-10.3,0.925739,0.371394,0.104506,CW,0
0,0,1,Base,127,-30,0.0472,0.0472,0.95205,0.464099,0.271785,CW,0
0,0,1,Base,17,-30,-16.6,-16.6,0.565778,0.679875,0.246179,CW,0
0,0,1,Base,3,-30,2.22,2.22,0.872106,0.412597,0.129934,CW,0
0,0,1,Base,48,-60,-5.42,-5.42,1.05511,0.425856,0.15401,CW,0
0,0,1,Base,130,-60,0.123,0.123,0.90146,0.405876,0.0847004,CW,0
0,0,1,Base,44,-60,-4.69,-4.69,0.818174,0.320119,0.0623308,CW,0
0,0,1,Base,12,-60,4.25,4.25,0.997811,0.6768,0.0927739,CW,0
0,0,1,Base,77,-60,7,7,0.998265,0.601634,0.0363519,CW,0
0,0,1,Base,72,-60,-15.9,-15.9,1.28706,0.620881,0.274626,CW,0
0,0,1,Base,60,-60,-10,-10,0.655057,0.492549,0.116029,CW,0
0,0,1,Base,175,-60,-5.36,-5.36,0.7689,0.113952,0.0670109,CW,0
0,0,1,Base,70,-60,-4.74,-4.74,0.669831,0.859672,0.276707,CW,0
0,0,1,Base,102,-60,1.09,1.09,0.793962,0.302527,0.0858017,CW,0
0,0,1,Base,1,-60,-4.89,-4.89,0.806261,0.560935,0.295303,CW,0
0,0,1,Base,75,-60,-5.96,-5.96,0.818414,0.757955,0.160559,CW,0
0,0,1,Base,196,-90,-5.4,-5.4,0.787304,0.423048,0.0242658,CW,0
0,0,1,Base,115,-90,-5.34,-5.34,1.23679,0.229881,0.159286,CW,0
0,0,1,Base,98,-90,-4.77,-4.77,0.93034,0.259191,0.104494,CW,0
0,0,1,Base,86,-90,-15.8,-15.8,0.797908,0.0960411,0.0775028,CW,0
0,0,1,Base,23,-90,-2.92,-2.92,0.877991,0.621411,0.0294463,CW,0
0,0,1,Base,11,-90,6.7,6.7,0.948898,0.448631,0.175375,CW,0
0,0,1,Base,145,-90,4.02,4.02,0.95474,0.659331,0.200138,CW,0
0,0,1,Base,28,-90,0.757,0.757,0.962842,0.311665,0.0970854,CW,0
0,0,1,Base,71,-90,-4.09,-4.09,1.10949,0.376875,0.121952,CW,0
0,0,1,Base,26,-90,-13.3,-13.3,0.836948,0.555846,0.240479,CW,0
0,0,1,Base,57,-90,-4.36,-4.36,0.969758,0.45089,0.458282,CW,0
0,0,1,Base,156,-90,-0.505,-0.505,0.784749,0.728581,0.243553,CW,0
0,0,1,Base,129,-120,-0.16,-0.16,0.993627,0.594322,0.257001,CW,0
0,0,1,Base,192,-120,-5.22,-5.22,0.615928,0.633851,0.267645,CW,0
0,0,1,Base,58,-120,-11.5,-11.5,0.757906,0.950345,0.248904,CW,0
0,0,1,Base,103,-120,-1.63,-1.63,1.10366,0.267307,0.16303,CW,0
0,0,1,Base,122,-120,2.89,2.89,0.86465,0.476375,0.0231172,CW,0
0,0,1,Base,101,-120,-8.41,-8.41,0.951534,0.540034,0.215265,CW,0
0,0,1,Base,30,-120,-13.3,-13.3,1.00772,0.229614,0.19543,CW,0
0,0,1,Base,33,-120,-4.71,-4.71,0.708216,0.166093,0.0982713,CW,0
0,0,1,Base,138,-120,-10.2,-10.2,0.938407,0.486213,0.22528,CW,0
0,0,1,Base,47,-120,-5.05,-5.05,0.819676,0.317386,0.14463,CW,0
0,0,1,Base,178,-120,-5.48,-5.48,0.622194,0.454518,0.0722326,CW,0
0,0,1,Base,110,-120,-0.41,-0.41,0.977,0.269077,0.00965796,CW,0
